stuff
40000
-77 0.680052 0.319937 1.04794e-05 2.41094e-07
-76.991 0.680055 0.319934 1.04784e-05 2.41099e-07
-76.9822 0.68006 0.319929 1.04773e-05 2.41107e-07
-76.9736 0.680068 0.319921 1.04763e-05 2.4112e-07
-76.9652 0.680079 0.31991 1.04753e-05 2.41136e-07
-76.9571 0.680092 0.319897 1.04743e-05 2.41157e-07
-76.9491 0.680107 0.319882 1.04733e-05 2.4118e-07
-76.9414 0.680125 0.319864 1.04723e-05 2.41208e-07
-76.9338 0.680145 0.319845 1.04712e-05 2.41238e-07
-76.9265 0.680167 0.319822 1.04702e-05 2.41272e-07
-76.9193 0.680191 0.319798 1.04692e-05 2.41309e-07
-76.9123 0.680217 0.319772 1.04681e-05 2.41348e-07
-76.9055 0.680245 0.319744 1.04671e-05 2.41391e-07
-76.8989 0.680275 0.319714 1.0466e-05 2.41436e-07
-76.8925 0.680307 0.319683 1.0465e-05 2.41484e-07
-76.8863 0.68034 0.319649 1.04639e-05 2.41534e-07
-76.8802 0.680375 0.319614 1.04629e-05 2.41587e-07
-76.8743 0.680412 0.319577 1.04618e-05 2.41641e-07
-76.8685 0.680451 0.319539 1.04608e-05 2.41698e-07
-76.8629 0.68049 0.319499 1.04597e-05 2.41757e-07
-76.8575 0.680532 0.319457 1.04587e-05 2.41818e-07
-76.8523 0.680575 0.319415 1.04576e-05 2.4188e-07
-76.8471 0.680619 0.319371 1.04565e-05 2.41945e-07
-76.8422 0.680664 0.319325 1.04555e-05 2.42011e-07
-76.8373 0.680711 0.319279 1.04544e-05 2.42078e-07
-76.8327 0.680758 0.319231 1.04533e-05 2.42147e-07
-76.8281 0.680807 0.319182 1.04523e-05 2.42217e-07
-76.8237 0.680857 0.319132 1.04512e-05 2.42289e-07
-76.8195 0.680909 0.319081 1.04501e-05 2.42362e-07
-76.8153 0.680961 0.319029 1.0449e-05 2.42435e-07
-76.8113 0.681014 0.318976 1.0448e-05 2.4251e-07
-76.8074 0.681068 0.318922 1.04469e-05 2.42586e-07
-76.8037 0.681122 0.318867 1.04458e-05 2.42663e-07
-76.8001 0.681178 0.318811 1.04447e-05 2.4274e-07
-76.7965 0.681235 0.318755 1.04437e-05 2.42818e-07
-76.7932 0.681292 0.318698 1.04426e-05 2.42897e-07
-76.7899 0.68135 0.31864 1.04415e-05 2.42977e-07
-76.7867 0.681408 0.318581 1.04404e-05 2.43057e-07
-76.7836 0.681467 0.318522 1.04394e-05 2.43137e-07
-76.7807 0.681527 0.318462 1.04383e-05 2.43218e-07
-76.7778 0.681588 0.318402 1.04372e-05 2.43299e-07
-76.7751 0.681648 0.318341 1.04361e-05 2.43381e-07
-76.7724 0.68171 0.31828 1.0435e-05 2.43463e-07
-76.7699 0.681772 0.318218 1.0434e-05 2.43545e-07
-76.7674 0.681834 0.318156 1.04329e-05 2.43627e-07
-76.7651 0.681896 0.318093 1.04318e-05 2.43709e-07
-76.7628 0.681959 0.31803 1.04307e-05 2.43791e-07
-76.7606 0.682023 0.317967 1.04296e-05 2.43873e-07
